result,c1,c2,c3,c4,c5
Win,Alistar,Cho'Gath,Jax,Veigar,Varus
Win,Lulu,Kai'Sa,Braum,Gangplank,Xin Zhao
Win,Lissandra,Irelia,Xin Zhao,Bard,Yasuo
Win,Tryndamere,Nocturne,Zoe,Alistar,Xayah
Win,Rakan,Ryze,Camille,Fiora,Xayah
Win,Malzahar,Ezreal,Xin Zhao,Irelia,Tahm Kench
Win,Irelia,Xin Zhao,Yasuo,Nautilus,Nautilus
Win,Shaco,Kog'Maw,Lissandra,Caitlyn,Nautilus
Win,Xayah,Fizz,Camille,Pyke,Ornn
Win,Lucian,Talon,Evelynn,Camille,Zed
Win,Morgana,Caitlyn,Lee Sin,Ryze,Zed
Win,Zoe,Graves,Rakan,Ezreal,Camille
Win,Evelynn,Leona,Varus,Talon,Galio
Win,Pyke,Camille,Lucian,Singed,Varus
Win,Veigar,Shaco,Rek'Sai,Xayah,Malphite
Win,Rek'Sai,Ashe,Talon,Karma,Malphite
Win,Xayah,Lulu,Soraka,Irelia,Kha'Zix
Win,Lulu,Fiora,Morgana,Ezreal,Xin Zhao
Win,Lee Sin,Aurelion Sol,Jayce,Kog'Maw,Thresh
Win,Nocturne,Cho'Gath,Janna,Xayah,Kai'Sa
Win,Gangplank,Kayn,Zoe,Alistar,Kai'Sa
Win,Jax,Nunu,Alistar,Irelia,Jax
Win,Rakan,Nidalee,Fiddlesticks,Lucian,Ezreal
Win,Gangplank,Morgana,Fizz,Lee Sin,Ezreal
Win,Lucian,Gnar,Karthus,Thresh,Soraka
Win,Azir,Sion,Camille,Ezreal,Soraka
Win,Talon,Ezreal,Fiddlesticks,Taliyah,Malphite
Win,Kai'Sa,Rakan,Katarina,Xin Zhao,Camille
Win,Rek'Sai,Fiora,Rumble,Ezreal,Kai'Sa
Win,Zed,Lux,Jarvan IV,Twitch,Taliyah
Win,Jax,Bard,Tristana,Kha'Zix,Kai'Sa
Win,Shen,Draven,Shaco,Braum,Ezreal
Win,Karma,Nocturne,Zoe,Renekton,Ezreal
Win,Darius,Morgana,Draven,Yasuo,Taliyah
Win,Graves,Jax,Lucian,Pyke,Zac
Win,Morgana,Zoe,Singed,Lucian,Taliyah
Win,Yasuo,Lucian,Braum,Urgot,Dr. Mundo
Win,Xayah,Camille,Cassiopeia,Rakan,Dr. Mundo
Win,Gnar,Kha'Zix,Xayah,Taliyah,Annie
Win,Aurelion Sol,Sion,Malzahar,Urgot,Lissandra
Win,Zac,Janna,Karma,Miss Fortune,Lissandra
Win,Kai'Sa,Alistar,Nautilus,Kha'Zix,Karma
Win,Camille,Ryze,Rakan,Jarvan IV,Xayah
Win,Morgana,Anivia,Vladimir,Jayce,Olaf
Win,Lulu,Kai'Sa,Tahm Kench,Singed,Maokai
Win,Lulu,Lucian,Graves,Braum,Maokai
Win,Yasuo,Irelia,Olaf,Rakan,Malzahar
Win,Karma,Caitlyn,Kha'Zix,Vladimir,Malphite
Win,Zoe,Zac,Kindred,Caitlyn,Malphite
Win,Mordekaiser,Kai'Sa,Olaf,Lulu,Karma
Win,Ezreal,Vladimir,Xin Zhao,Lulu,Karma
Win,Nunu,Heimerdinger,Ezreal,Lee Sin,Sivir
Win,LeBlanc,Soraka,Shen,Nunu,Sivir
Win,Karthus,Caitlyn,Janna,Camille,Xin Zhao
Win,Zac,Vladimir,Caitlyn,Shen,Zed
Win,Dr. Mundo,Rakan,Xayah,Evelynn,Nocturne
