accountId,champId,avg_cs,avg_kda,avg_kill,avg_death,avg_assist,winratio,play_num
206948172,48,5.2,4.98,4.6,2.4,7.5,68,25
206948172,121,4.9,4.4,6.6,2.9,6.1,61,18
206948172,164,5.6,5.67,7,2.2,5.5,80,15
206948172,68,5.6,4.6,6.2,2.9,7,53,15
206280171,238,8.3,4.06,8.7,3.3,4.5,65,103
206280171,13,8.8,3.32,6.4,4,6.9,51,69
206280171,268,8.9,2.84,4.6,3.9,6.6,56,57
206280171,8,7.8,2.53,5.4,4.4,5.8,53,53
206280171,142,7.6,2.8,4.6,3.8,6.1,47,47
206280171,7,6.8,3.65,7,3.6,6,63,30
206280171,3,7.9,2.91,4.8,4.4,8.1,53,30
8021595,136,7.6,3.81,5.9,3.4,7.2,57,366
8021595,90,6.9,1.88,3.3,5.3,6.7,0,3
8021595,12,1.5,6,1,2,11,100,1
8021595,163,7.6,15,10,2,20,100,1
251709,51,9.2,2.24,4.8,4.6,5.5,48,302
251709,498,9.3,3.04,6.2,4.2,6.4,61,188
251709,110,9,2.72,5.9,4.5,6.4,53,150
251709,81,8.4,2.85,5.3,4.4,7.2,54,137
251709,145,8.7,2.49,6.7,4.8,5.3,61,94
251709,96,8.8,2.19,6,5.2,5.5,51,53
251709,59,5.7,2.7,3.9,4.5,8.3,45,47
209063179,18,9.2,3.2,6.7,3.8,5.4,68,82
209063179,110,9.5,3.36,7.5,4,5.9,59,51
209063179,498,9.2,2.56,5.4,4.2,5.3,56,48
209063179,81,8.9,2.8,5.2,3.9,5.6,49,37
209063179,12,1.7,3.18,1.6,4.3,12.1,57,35
209063179,119,8.7,3.01,8.4,4.7,5.8,67,24
209063179,51,9,2.9,5,3.7,5.9,61,23
210168209,81,8.3,3.98,5.8,3.1,6.4,65,118
210168209,145,8.3,3.53,7.1,3.5,5.3,66,35
210168209,202,7.8,3.21,4.9,3.6,6.8,32,22
210168209,51,8.4,2.6,5.1,4.4,6.3,45,20
210168209,50,7,2.83,5.9,5.3,9.2,80,15
210168209,498,8,3.38,5.3,3.5,6.6,53,15
210168209,236,7.9,4.22,5.8,3.2,7.5,77,13
208276269,7,6.3,3.37,7.4,3.9,5.7,65,49
208276269,13,8.3,2.78,6.2,4.5,6.3,63,48
208276269,142,6.8,2.58,5.8,5.2,7.5,58,40
208276269,69,7.8,2.03,5.7,5.4,5.3,63,38
208276269,38,7.6,3.27,7.3,4,5.8,75,32
208276269,81,7.7,2.42,4.7,4.8,6.8,50,32
208276269,163,8.3,2.94,6.8,4.7,7,63,30
755064,164,7.8,3.43,5.4,3.2,5.5,65,81
755064,41,8.4,3.51,4.5,3.6,8,63,57
755064,27,8.1,3.18,3.7,3.4,7,73,48
755064,8,8.2,2.81,4.6,3.6,5.5,62,34
755064,136,7.6,3.04,5.5,4.1,6.8,43,28
755064,24,8.4,2.15,4.3,3.5,3.3,56,25
755064,39,8.4,2.36,6.4,4.5,4.2,58,19
207987339,14,6.7,3.45,2.9,3.4,8.8,61,31
207987339,25,0.8,3.19,2.4,3.8,9.7,57,28
207987339,64,5.1,2.53,5.6,4.8,6.6,52,21
207987339,5,5.4,2.94,5.1,4.9,9.4,71,17
207987339,2,5.2,3.19,5.6,4,7.1,59,17
207987339,154,4.6,3.43,3,4.5,12.4,63,16
207987339,31,6.9,2.71,3.4,3.7,6.7,50,14
208357607,121,5.6,4.04,7.2,3.3,6.1,75,83
208357607,113,5.3,4.81,3.7,2.6,9.1,62,73
208357607,164,5.5,3.31,6.2,3.9,6.7,61,56
208357607,72,5.4,4.13,3.1,3.1,9.6,61,31
208357607,76,6.6,4.45,6.3,3,6.9,55,31
208357607,24,6.3,2.37,4.4,4.5,6.3,56,27
208357607,2,5.9,3.23,5.2,3.5,6,52,25
209992902,12,1.6,2.7,1.7,4.8,11.2,56,188
209992902,201,2.2,3.03,1.3,3.8,10.1,50,142
209992902,223,2.2,2.2,2,4.8,8.7,51,77
209992902,43,5.5,2.6,3.1,4.6,9,51,74
209992902,497,0.6,2.93,1.7,4.7,12,51,51
209992902,44,2.1,2.51,1.5,4.6,10,54,39
209992902,98,2.6,3.05,2.4,5,12.9,47,36
210082154,81,8.1,3.75,5.7,3.4,7.2,63,87
210082154,498,8.5,3.06,5.8,3.7,5.7,51,39
210082154,145,7.7,3.64,6.6,3.3,5.4,61,38
210082154,42,9.7,5.98,7.9,2.1,4.7,84,19
210082154,110,8.3,3.22,7.1,4.5,7.4,58,19
210082154,8,7.6,2.38,4.7,3.9,4.5,60,15
210082154,202,6.9,3.03,4.9,4.3,8.1,64,14
209685625,497,0.7,4.43,1.9,3.3,12.6,73,74
209685625,25,0.8,4.14,2.2,3.5,12.3,56,27
209685625,223,1.8,3,1.8,3.6,8.9,52,27
209685625,40,0.6,4.26,1.1,2.8,10.7,64,25
209685625,201,1.7,3.53,1.2,3.6,11.6,48,23
209685625,12,1.5,2.81,1.1,4.2,10.7,48,23
209685625,14,6.9,3,1.7,3.2,7.8,42,12
6965193,30,8.7,2.96,6.3,4.5,7,66,140
6965193,26,6.5,3.21,3.4,3.7,8.3,67,9
6965193,69,8.5,1.7,3.8,4.8,4.3,44,9
6965193,74,7.6,1.61,4.3,4.7,3.3,43,7
6965193,3,7.8,1.96,4.4,5.4,6.2,80,5
6965193,43,7.4,2.11,3,3.6,4.6,60,5
6965193,50,7.2,2.5,3,4,7,67,3
6871165,81,9.1,4.09,5.8,2.9,6.3,51,108
6871165,51,9.5,4.27,5.9,2.9,6.3,61,82
6871165,145,9.1,3.56,6.9,3.3,4.9,60,63
6871165,498,9.2,3.58,5.2,3.1,5.9,47,53
6871165,202,9.1,5.06,6.2,2.7,7.5,61,46
6871165,110,9.7,3.22,6.1,3.9,6.3,66,41
6871165,67,8.8,2.6,6.4,4.5,5.3,52,31
870355,41,8.5,2.97,5.2,3.9,6.3,63,446
870355,8,8.2,2.73,5.8,3.8,4.5,56,137
870355,80,5,3.29,6.6,3.9,6.2,60,83
870355,114,7.2,1.47,3.8,5.4,4.2,39,31
